segment_id,acc_total,pred_risk_level,risk_score,risk_pct
37880,0,2,0.6694377754659703,66.9
37881,0,2,0.6693564153198773,66.9
37882,0,2,0.6693564153198773,66.9
37883,0,2,0.6693564153198773,66.9
37884,0,2,0.6693564153198773,66.9
37885,0,2,0.6693564153198773,66.9
37886,0,2,0.6688644617873555,66.9
37887,0,2,0.668670027400367,66.9
37888,0,2,0.6693564153198773,66.9
37889,0,2,0.669285212449419,66.9
37890,0,2,0.6691722858231515,66.9
37891,0,2,0.6688254211718837,66.9
37892,0,2,0.6688458124796549,66.9
37893,0,2,0.6660866943808893,66.6
37894,0,2,0.6674098841225108,66.7
37895,0,2,0.6678963175121074,66.8
37896,0,2,0.6659026112562666,66.6
37897,0,2,0.6688644617873555,66.9
37898,0,2,0.6677792731594915,66.8
37899,0,2,0.6595908245071769,66.0
37900,0,2,0.6679338324659815,66.8
37901,0,2,0.6687351438061645,66.9
37902,0,2,0.6677517070202157,66.8
37903,0,2,0.668877974152565,66.9
37904,0,2,0.6682594975767037,66.8
37905,0,2,0.6679926785097147,66.8
37906,0,2,0.6688644617873555,66.9
37907,0,2,0.6676830465827758,66.8
37908,0,2,0.6676058757972593,66.8
37909,0,2,0.6671781746360163,66.7
37910,0,2,0.6674698890807728,66.7
37911,0,2,0.6668701800517738,66.7
37912,0,2,0.6614144896157086,66.1
37913,0,2,0.6609573535000285,66.1
37914,0,2,0.6659438095521182,66.6
37915,0,2,0.6681713017169386,66.8
37916,0,2,0.6667562819784507,66.7
37917,0,2,0.6672157104670381,66.7
37918,0,2,0.6669336941170817,66.7
37919,0,2,0.6669382595379526,66.7
37920,0,2,0.6677229459940767,66.8
37921,0,2,0.6693564153198773,66.9
37922,0,2,0.6688254211718837,66.9
37923,0,2,0.663743836650004,66.4
37924,0,2,0.6606536560381452,66.1
37925,0,2,0.6395790943255028,64.0
37926,0,2,0.6591148072232803,65.9
37927,0,2,0.6661698010284454,66.6
37928,0,2,0.6671835577581078,66.7
37929,0,2,0.6699364726276448,67.0
37930,0,2,0.6702275186544284,67.0
37931,0,2,0.6684467632633945,66.8
37932,0,2,0.6685007497435436,66.9
37933,0,2,0.6695903111249208,67.0
37934,0,2,0.6678657731196532,66.8
37935,0,2,0.6693128098268062,66.9
37936,0,2,0.6693555027401695,66.9
37937,0,2,0.6695903111249208,67.0
37938,0,2,0.6673662687729424,66.7
37939,0,2,0.6687292885423327,66.9
37940,0,2,0.6677449698327109,66.8
37941,0,2,0.6687908369349316,66.9
37942,0,2,0.6663954571122304,66.6
37943,0,2,0.6693021200286845,66.9
37944,0,2,0.6674742908993115,66.7
37945,0,2,0.6681726259800295,66.8
37946,0,2,0.6678856391226873,66.8
37947,0,2,0.6679291394927228,66.8
37948,0,2,0.6684911998842532,66.8
37949,0,2,0.6684422675364962,66.8
37950,0,2,0.66806987960202,66.8
37951,0,2,0.6688772760486851,66.9
37952,0,2,0.668670027400367,66.9
37953,0,2,0.6689745701150969,66.9
37954,0,2,0.6679877983018135,66.8
37955,0,2,0.668670027400367,66.9
37956,0,2,0.6689745701150969,66.9
37957,0,2,0.6693951116952425,66.9
37958,0,2,0.6693951116952425,66.9
37959,0,2,0.6688644617873555,66.9
37960,0,2,0.66930117427061,66.9
37961,0,2,0.6693128098268062,66.9
37962,0,2,0.6696181954272712,67.0
37963,0,2,0.669285212449419,66.9
37964,0,2,0.668670027400367,66.9
37965,0,2,0.6688600758401057,66.9
37966,0,2,0.669285212449419,66.9
37967,0,2,0.669572422436128,67.0
37968,0,2,0.6686048681149259,66.9
37969,0,2,0.6683515628101304,66.8
37970,0,2,0.67038202972617,67.0
37971,0,2,0.6707633404294029,67.1
37972,0,2,0.6707633404294029,67.1
37973,0,2,0.6707633404294029,67.1
37974,0,2,0.6680050131787235,66.8
37975,0,2,0.6701447209731365,67.0
37976,0,2,0.6700677971821278,67.0
37977,0,2,0.6700006374546016,67.0
37978,0,2,0.6682981783912206,66.8
37979,0,2,0.668013448943384,66.8
37980,0,2,0.6668878512379403,66.7
37981,0,2,0.6681008809246123,66.8
37982,0,2,0.6695142268047979,67.0
37983,0,2,0.6700723065684239,67.0
37984,0,2,0.6688228964727992,66.9
37985,0,2,0.6689459061793362,66.9
37986,0,2,0.6693021200286845,66.9
37987,0,2,0.6705392003059387,67.1
37988,0,2,0.6689757233252749,66.9
37989,0,2,0.6680729728347311,66.8
37990,0,2,0.6684467632633945,66.8
37991,0,2,0.6694326049182564,66.9
37992,0,2,0.6683352969121188,66.8
37993,0,2,0.6642696425163498,66.4
37994,0,2,0.6699697157212844,67.0
37995,0,2,0.670325476443395,67.0
37996,0,2,0.6673027330931897,66.7
37997,0,2,0.6673558045489093,66.7
37998,0,2,0.6681150287622586,66.8
37999,0,2,0.670325476443395,67.0
